character	aliases	V1	V2	V3	V4	V5	total	volumes
路明非	路明非	1786	1399	2410	1490	2910	9995	5
楚子航	楚子航	170	1236	1383	528	917	4234	5
恺撒·加图索	恺撒/凯撒	457	482	2436	209	861	4445	5
陈墨瞳/诺诺	陈墨瞳/诺诺	639	267	184	1019	1018	3127	5
路鸣泽	路鸣泽	131	187	340	130	83	871	5
芬格尔	芬格尔	328	202	267	352	436	1585	5
零	零号/零说/零问/零点头/零看/零站/零走/零从/零把/零的/零是/零和	28	8	360	6	177	579	5
希尔伯特·让·昂热	昂热	17	447	934	71	35	1504	5
夏弥	夏弥/耶梦加得	0	406	29	20	39	494	4
上杉绘梨衣	上杉绘梨衣/绘梨衣	0	0	779	5	18	802	3
源稚生	源稚生	0	0	1957	4	20	1981	3
源稚女/风间琉璃	源稚女/风间琉璃	0	0	758	0	5	763	2
楚天骄	楚天骄	0	0	0	77	6	83	2
乔薇尼	乔薇尼	3	5	15	1	258	282	5
苏茜	苏茜	15	46	6	4	323	394	5
陈雯雯	陈雯雯	144	248	26	103	16	537	5
苏晓樯	苏晓樯/小天女	41	7	3	170	12	233	5
老唐/诺顿	老唐/诺顿	157	21	14	11	22	225	5
康斯坦丁	康斯坦丁	7	16	6	9	6	44	5
奥丁	奥丁	12	25	3	197	75	312	5
上杉越	上杉越/越师傅	0	0	275	1	2	278	3
橘政宗/王将/赫尔佐格	橘政宗/王将/赫尔佐格	0	0	1363	8	69	1440	3
酒德麻衣	酒德麻衣/麻衣/长腿妞	107	122	262	5	283	779	5
苏恩曦	苏恩曦/薯片妞	0	74	281	1	509	865	4
帕西·加图索	帕西	8	113	6	31	63	221	5
樱	矢吹樱/樱说/樱问/樱点头/樱看/樱站/樱走/樱把/樱的/樱是/樱和	0	0	124	0	0	124	1
路麟城	路麟城	0	2	1	1	249	253	4
诺玛/EVA	诺玛/EVA	114	48	96	76	28	362	5
